alias,normalized_name,company_key,relationship_type,management_type,role,designation
. Mohammed Hindi Shujaa Al-Otaibi,. Mohammed Hindi Shujaa Al-Otaibi,2100-en,board_member,board_of_directors,Independent,Board of Directors
. الأستاذ/ سعد بن عبدالعزيز بن عبد الوهاب الكرود,. الأستاذ/ سعد بن عبدالعزيز بن عبد الوهاب الكرود,3050-ar,board_member,board_of_directors,غير تنفيذي,رئيس مجلس الإدارة
Aamer Abdullah Alireza,Aamer Abdullah Alireza,2190-en,board_member,board_of_directors,Non - Executive,Chairman
Abd al-Wahhab bin Muhammad Saad al-Ajroush,Abd al-Wahhab bin Muhammad Saad al-Ajroush,9546-en,board_member,board_of_directors,Non - Executive,Chairman
Abdallah Abdulmalik Abdullah Alshaikh,Abdallah Abdulmalik Abdullah Alshaikh,4260-en,board_member,board_of_directors,Non - Executive,Board of Directors
Abdallah Saad Abdallah Aldosary,Abdallah Saad Abdallah Aldosary,1301-en,board_member,board_of_directors,Executive,Board of Directors
Abdalmajeed Abdulrhman Naser Al-duliami,Abdalmajeed Abdulrhman Naser Al-duliami,9579-en,board_member,board_of_directors,Non - Executive,Board of Directors
Abdel-Salam Bdeir,Abdel-Salam Bdeir,4008-en,board_member,senior_executive,CEO,Senior Executives
Abdel Muhsen Jaber,Abdel Muhsen Jaber,8180-en,board_member,board_of_directors,Non - Executive,Board of Directors
Abdelaziz Meteb Alrasheed,Abdelaziz Meteb Alrasheed,1833-en,board_member,board_of_directors,Independent,Board of Directors
Abdelelah Bin Salem Bin Ahmed Bin Mahfouz,Abdelelah Bin Salem Bin Ahmed Bin Mahfouz,4164-en,board_member,board_of_directors,Non - Executive,Board of Directors
AbdelFattah Mamdouh AlAssi,AbdelFattah Mamdouh AlAssi,4265-en,board_member,senior_executive,CFO,Senior Executives
Abdelhalim Abdalla Abdelhai Ahmed Nour,Abdelhalim Abdalla Abdelhai Ahmed Nour,9571-en,board_member,senior_executive,CFO,Senior Executives
abdelhmid hosny abdelhmid     ibrahim,abdelhmid hosny abdelhmid     ibrahim,1301-en,board_member,senior_executive,CFO,Senior Executives
Abdelmohsen abdelftah abdelmohsi,Abdelmohsen abdelftah abdelmohsi,9576-en,board_member,senior_executive,CFO,Senior Executives
